Id_Geolocalizacion,zip_code_prefix,Latitud,Longitud,Ciudad,Estado
52,1103,-23.53546844605213,-46.630290773383486,são paulo,sp
53,1104,-23.534952165368537,-46.62957039061347,sao paulo,sp
54,1105,-23.53409398177586,-46.62907768017333,sao paulo,sp
55,1106,-23.53022077513783,-46.62822125953078,sao paulo,sp
56,1107,-23.52608789203137,-46.6295898871866,sao paulo,sp
57,1108,-23.52723217132549,-46.63035441819986,sao paulo,sp
58,1109,-23.524624899587646,-46.627103243360565,sao paulo,sp
59,1120,-23.53016252975312,-46.63951141166309,sao paulo,sp
60,1121,-23.527866658998825,-46.635256920492864,sao paulo,sp
61,1122,-23.53113059653861,-46.638324826141925,são paulo,sp
62,1123,-23.529164543710603,-46.636582392674725,sao paulo,sp
63,1124,-23.528221233825743,-46.6330954010969,sao paulo,sp
64,1125,-23.52728844957164,-46.64016432350874,sao paulo,sp
65,1126,-23.52706654933756,-46.6391527868084,sao paulo,sp
66,1127,-23.52548080336663,-46.64159548852641,sao paulo,sp
67,1128,-23.523786738657147,-46.64220966455253,sao paulo,sp
68,1129,-23.524051385464382,-46.64507304012999,sao paulo,sp
69,1130,-23.52483082086712,-46.64492992157746,sao paulo,sp
70,1131,-23.522379737671027,-46.64310784736644,sao paulo,sp
71,1132,-23.52153987930432,-46.64873923331728,sao paulo,sp
72,1133,-23.52042428170985,-46.65332230946677,sao paulo,sp
73,1134,-23.518899939878285,-46.65269033643667,são paulo,sp
74,1135,-23.52619042672918,-46.65097004120221,sao paulo,sp
75,1136,-23.52398692018172,-46.66135135045779,são paulo,sp
76,1137,-23.52285148032212,-46.65280923153935,são paulo,sp
77,1138,-23.522455823939264,-46.65525390366426,sao paulo,sp
78,1139,-23.52072495607176,-46.66593897144172,sao paulo,sp
79,1140,-23.52043844370904,-46.66923716844039,sao paulo,sp
80,1141,-23.520310325905555,-46.666439013917504,são paulo,sp
81,1142,-23.519934305152635,-46.6251300217966,sao paulo,sp
82,1144,-23.523572749295845,-46.67242459028445,sao paulo,sp
83,1150,-23.53295302359728,-46.65824594266135,sao paulo,sp
84,1151,-23.531641584683715,-46.656288753249086,sao paulo,sp
85,1152,-23.529884845741268,-46.65527643333266,sao paulo,sp
86,1153,-23.52993084629876,-46.65354908690436,são paulo,sp
87,1154,-23.530535897249937,-46.65929570388055,sao paulo,sp
88,1155,-23.529072884025176,-46.66331995168207,sao paulo,sp
89,1156,-23.52892113830292,-46.66643724514499,são paulo,sp
90,1189,-23.53210825506378,-46.63839470107914,sao paulo,sp
91,1200,-23.531567773241413,-46.64986907784642,sao paulo,sp
92,1201,-23.53608280967418,-46.64953939046932,sao paulo,sp
93,1202,-23.533742576459336,-46.64828045105447,são paulo,sp
94,1203,-23.53596465666132,-46.64529955632679,sao paulo,sp
95,1204,-23.53599263946852,-46.64408982260722,sao paulo,sp
96,1205,-23.536490774893963,-46.64264196680963,são paulo,sp
97,1206,-23.53586368511747,-46.64281871336397,sao paulo,sp
98,1207,-23.539175560135185,-46.63865415001012,sao paulo,sp
99,1208,-23.538660495662256,-46.63898204602016,sao paulo,sp
100,1209,-23.540695255566067,-46.64158293572283,sao paulo,sp
101,1210,-23.54003934055892,-46.64209131081347,são paulo,sp
102,1211,-23.53757657410565,-46.648837901189005,sao paulo,sp
103,1212,-23.538268511790665,-46.63942263256764,são paulo,sp
104,1213,-23.53650149461516,-46.64036116340707,sao paulo,sp
105,1214,-23.538842493961862,-46.645230453060144,sao paulo,sp
106,1215,-23.536167399914945,-46.64754185786535,são paulo,sp
107,1216,-23.53312759396449,-46.647833807450674,sao paulo,sp
108,1217,-23.532657557836487,-46.64888399298631,sao paulo,sp
109,1218,-23.531249798864057,-46.648325141054045,são paulo,sp
110,1219,-23.54128881428637,-46.64569860301066,sao paulo,sp
111,1220,-23.544514011109737,-46.64603990221942,sao paulo,sp
112,1221,-23.54486769747208,-46.64828171537101,sao paulo,sp
113,1222,-23.545944543973,-46.64936937401519,são paulo,sp
114,1223,-23.54408811655856,-46.6485821171502,sao paulo,sp
115,1224,-23.54177865147579,-46.65242233963953,sao paulo,sp
116,1225,-23.53978602121373,-46.64913883151016,sao paulo,sp
117,1226,-23.538010108905684,-46.65271926812756,são paulo,sp
118,1227,-23.54620191296881,-46.658384582734,sao paulo,sp
119,1228,-23.545189379286004,-46.657610856988455,sao paulo,sp
120,1229,-23.538901609843467,-46.657291130376834,sao paulo,sp
121,1230,-23.536310405918027,-46.65711200863413,sao paulo,sp
122,1231,-23.536950407426133,-46.65925589278497,sao paulo,sp
123,1232,-23.53642800353018,-46.65742601137803,sao paulo,sp
124,1233,-23.53624654014996,-46.66166521796578,sao paulo,sp
125,1234,-23.539689562251542,-46.66424403546395,sao paulo,sp
126,1235,-23.53671427686228,-46.66466630391698,sao paulo,sp
127,1236,-23.543550224431343,-46.66741941090643,sao paulo,sp
128,1237,-23.54323445101232,-46.66872440228904,sao paulo,sp
129,1238,-23.542571396851145,-46.65424333104067,sao paulo,sp
130,1239,-23.5430952700848,-46.63105919621764,sao paulo,sp
131,1240,-23.543791843442868,-46.658543962529855,sao paulo,sp
132,1241,-23.54552478660237,-46.65784019308335,são paulo,sp
133,1242,-23.546506947085888,-46.65850174642453,sao paulo,sp
134,1243,-23.548120304994384,-46.65919184884556,sao paulo,sp
135,1244,-23.56204912797664,-46.65959031403356,sao paulo,sp
136,1245,-23.5494755238467,-46.66382107418295,são paulo,sp
137,1246,-23.55348129524968,-46.666318477031005,sao paulo,sp
138,1247,-23.55063807285042,-46.66865580450115,são paulo,sp
139,1248,-23.54791252484105,-46.6680263133255,sao paulo,sp
140,1249,-23.54841989244908,-46.67122044555848,sao paulo,sp
141,1250,-23.547640483075995,-46.67197263354333,sao paulo,sp
142,1251,-23.54837451640475,-46.67484647170287,são paulo,sp
143,1252,-23.541753975470872,-46.67893404000763,sao paulo,sp
144,1253,-23.54492912635292,-46.679164692087,sao paulo,sp
145,1254,-23.543337420255035,-46.680852402934015,são paulo,sp
146,1255,-23.546369835319183,-46.68154172682528,sao paulo,sp
147,1256,-23.547773256174622,-46.682838349154586,são paulo,sp
148,1257,-23.54360983905432,-46.687838575110746,sao paulo,sp
149,1258,-23.54403701732508,-46.68685091247136,sao paulo,sp
150,1259,-23.541418553843283,-46.68530389676934,sao paulo,sp
151,1262,-23.550856391462712,-46.67735184892536,sao paulo,sp
152,1290,-23.54096134139296,-46.657748702752585,são paulo,sp
153,1301,-23.549328970281223,-46.65089009868754,sao paulo,sp
154,1302,-23.549002921262296,-46.6495522786361,sao paulo,sp
155,1303,-23.54950569815466,-46.64843251428849,sao paulo,sp
156,1304,-23.554056434811184,-46.655202368713134,sao paulo,sp
157,1305,-23.552622735865256,-46.652538288772064,sao paulo,sp
158,1306,-23.55378520671892,-46.649605096945386,sao paulo,sp
159,1307,-23.55277801011571,-46.65320770049062,sao paulo,sp
160,1308,-23.555981373614504,-46.65331111428114,sao paulo,sp
161,1309,-23.55549308001593,-46.658452189500665,são paulo,sp
162,1310,-23.561652948469515,-46.65602130430728,sao paulo,sp
163,1311,-23.564504609380947,-46.652792655953206,sao paulo,sp
164,1312,-23.5547938726134,-46.64961491794625,sao paulo,sp
165,1313,-23.556111699158382,-46.65057380587249,sao paulo,sp
166,1314,-23.552640734461253,-46.64520437763303,sao paulo,sp
167,1315,-23.55408999997805,-46.64038909569764,sao paulo,sp
168,1316,-23.55295484539391,-46.6394328193213,sao paulo,sp
169,1317,-23.556238213645067,-46.640059865228494,sao paulo,sp
170,1318,-23.559447989888127,-46.642412737332194,sao paulo,sp
171,1319,-23.55188165773143,-46.640727972716256,são paulo,sp
172,1320,-23.557955062291963,-46.6393473993254,sao paulo,sp
173,1321,-23.56212863488459,-46.64191854981315,sao paulo,sp
174,1322,-23.56317165882958,-46.64345614157524,sao paulo,sp
175,1323,-23.56573478465023,-46.64147810312641,sao paulo,sp
176,1324,-23.55521473546572,-46.6431507402032,sao paulo,sp
177,1325,-23.557390163497686,-46.64445833667602,sao paulo,sp
178,1326,-23.55653901468896,-46.645439561798014,sao paulo,sp
179,1327,-23.565113424714426,-46.644944579328765,sao paulo,sp
180,1328,-23.555992686485013,-46.64679480230547,sao paulo,sp
181,1329,-23.56197752132482,-46.64728109566715,sao paulo,sp
182,1330,-23.559037886116048,-46.64945883730208,sao paulo,sp
183,1331,-23.56266441471218,-46.64999665805783,sao paulo,sp
184,1332,-23.55956858757865,-46.65245164487606,sao paulo,sp
185,1333,-23.56643505240895,-46.64756359661896,sao paulo,sp
186,1401,-23.575807250351687,-46.6586546272466,sao paulo,sp
187,1402,-23.57483739004908,-46.65739203989358,sao paulo,sp
188,1403,-23.56875503877107,-46.65340944414581,são paulo,sp
189,1404,-23.56854473362845,-46.65578027665806,sao paulo,sp
190,1405,-23.5647625796344,-46.65513838518373,sao paulo,sp
191,1406,-23.574814338967823,-46.67029927274052,são paulo,sp
192,1407,-23.576111884428947,-46.67139205737759,sao paulo,sp
193,1408,-23.56711189502811,-46.66081341581779,sao paulo,sp
194,1409,-23.56146082458661,-46.6582620039177,sao paulo,sp
195,1410,-23.562831445869627,-46.66092524802457,sao paulo,sp
196,1411,-23.56424786754298,-46.66405956794994,sao paulo,sp
197,1412,-23.563651580737663,-46.66602412107524,são paulo,sp
198,1413,-23.56181450412445,-46.66403395427192,são paulo,sp
199,1414,-23.559623493719684,-46.663496455320605,são paulo,sp
200,1415,-23.55609171648326,-46.660462198375534,sao paulo,sp
201,1416,-23.56069291396141,-46.6676885326705,sao paulo,sp
202,1417,-23.55277885309958,-46.63393189503633,sao paulo,sp
203,1418,-23.56411614903987,-46.65527239864379,sao paulo,sp
204,1419,-23.563541620009783,-46.655949613048826,sao paulo,sp
205,1420,-23.563435490498804,-46.65791603919698,sao paulo,sp
206,1421,-23.563299264968794,-46.66015369245716,são paulo,sp
207,1422,-23.563961910707366,-46.661132368415885,sao paulo,sp
208,1423,-23.5691451171934,-46.65734766505131,sao paulo,sp
209,1424,-23.568041456805936,-46.66139884320943,sao paulo,sp
210,1425,-23.57289853249542,-46.65924739236762,sao paulo,sp
211,1426,-23.56586039709828,-46.666031696326776,sao paulo,sp
212,1427,-23.5710447647916,-46.664068614217655,são paulo,sp
213,1428,-23.573938872860044,-46.66232632374679,sao paulo,sp
214,1429,-23.57638445552909,-46.662900007074334,são paulo,sp
215,1430,-23.65614006235602,-46.66250204609212,sao paulo,sp
216,1431,-23.620388779836063,-46.66476818452366,sao paulo,sp
217,1432,-23.576485879806,-46.6657860583567,sao paulo,sp
218,1433,-23.57840745461661,-46.66837295595987,são paulo,sp
219,1434,-23.574646544842807,-46.67237739901525,sao paulo,sp
220,1435,-23.57932184560537,-46.67017866896868,sao paulo,sp
221,1436,-23.57245538592821,-46.66798871616942,sao paulo,sp
222,1437,-23.5721412540443,-46.67150329618942,sao paulo,sp
223,1438,-23.56980370877425,-46.67226487905968,sao paulo,sp
224,1439,-23.566289488092035,-46.67357141778229,sao paulo,sp
225,1440,-23.568289458157125,-46.67817024606098,sao paulo,sp
226,1441,-23.57060389426133,-46.68373209675989,são paulo,sp
227,1442,-23.566530732061707,-46.67861605515884,sao paulo,sp
228,1443,-23.568268938910105,-46.68450786333133,sao paulo,sp
229,1444,-23.573235541829785,-46.68752695447545,sao paulo,sp
230,1445,-23.57103798335723,-46.6880680072701,sao paulo,sp
231,1446,-23.575583788550983,-46.675498893884544,sao paulo,sp
232,1447,-23.57278680948972,-46.67888556258398,sao paulo,sp
233,1448,-23.578237896388124,-46.6798226933562,sao paulo,sp
234,1449,-23.57611691772789,-46.67995669824681,sao paulo,sp
235,1450,-23.57645317887297,-46.68518508958671,sao paulo,sp
236,1451,-23.577435950107763,-46.68698984950365,sao paulo,sp
237,1452,-23.574996445978105,-46.68887938403559,sao paulo,sp
238,1453,-23.584059003974733,-46.686376108944685,sao paulo,sp
239,1454,-23.582376976278088,-46.68670275509791,sao paulo,sp
240,1455,-23.5805541360028,-46.69112136854047,sao paulo,sp
241,1456,-23.576839765441044,-46.690987249007264,sao paulo,sp
242,1457,-23.575237809829588,-46.69270350960497,sao paulo,sp
243,1472,-23.57054369248079,-46.69129667943905,sao paulo,sp
244,1489,-23.57664998889148,-46.68740004775216,sao paulo,sp
245,1501,-23.55246935619688,-46.63548543836741,são paulo,sp
246,1502,-23.55460594212854,-46.635492561139046,sao paulo,sp
247,1503,-23.557709002952706,-46.63676937101554,são paulo,sp
248,1504,-23.566860580458098,-46.63950529622234,sao paulo,sp
249,1505,-23.55526761118644,-46.63182476204627,são paulo,sp
250,1506,-23.55955866786248,-46.63503218503183,são paulo,sp
251,1507,-23.558146418434657,-46.63176589052542,são paulo,sp
252,1508,-23.56142363121043,-46.63583005941286,sao paulo,sp
253,1509,-23.567010080253134,-46.6357981412501,sao paulo,sp
254,1510,-23.55760216498659,-46.63361528281082,sao paulo,sp
255,1511,-23.561456812728604,-46.63294793571508,sao paulo,sp
256,1512,-23.55371720607981,-46.62949909730413,sao paulo,sp
257,1513,-23.548914356972645,-46.60384461609752,sao paulo,sp
258,1514,-23.55437781878454,-46.628337768628526,sao paulo,sp
259,1516,-23.559073244239706,-46.61547996424181,sao paulo,sp
260,1517,-23.559613278440462,-46.62400348069893,sao paulo,sp
261,1518,-23.559209262391253,-46.62318692012759,sao paulo,sp
262,1519,-23.56092636240119,-46.62475706787166,sao paulo,sp
263,1520,-23.55937826905589,-46.62016401941447,sao paulo,sp
264,1521,-23.56117444494172,-46.62150903166886,sao paulo,sp
265,1522,-23.559920265800766,-46.61598186753573,sao paulo,sp
266,1523,-23.56420347845227,-46.61689706470856,sao paulo,sp
267,1524,-23.567783274833246,-46.61340053805785,sao paulo,sp
268,1525,-23.564028977467743,-46.634953911249525,sao paulo,sp
269,1526,-23.565952267759908,-46.6309439185662,sao paulo,sp
270,1527,-23.56243917352596,-46.62919220917374,sao paulo,sp
271,1528,-23.56477004530616,-46.627165924834166,sao paulo,sp
272,1529,-23.56843915687453,-46.634555491641365,sao paulo,sp
273,1530,-23.56894449806347,-46.63008918820539,sao paulo,sp
274,1531,-23.570760627713355,-46.63242524738392,sao paulo,sp
275,1532,-23.57053421761297,-46.6361118769605,sao paulo,sp
276,1533,-23.57116812309982,-46.63836454335031,sao paulo,sp
277,1534,-23.56754359015962,-46.62608514345028,sao paulo,sp
278,1535,-23.572433214905782,-46.6252413618822,sao paulo,sp
279,1536,-23.56903213145491,-46.62343627355639,sao paulo,sp
280,1537,-23.57442284838845,-46.623137264431584,sao paulo,sp
281,1538,-23.576312823278336,-46.623629347944245,são paulo,sp
282,1539,-23.5711528559151,-46.62043601303771,sao paulo,sp
283,1540,-23.565851346289616,-46.62258150860084,sao paulo,sp
284,1541,-23.56925274057871,-46.61861697305809,sao paulo,sp
285,1542,-23.57106582708015,-46.62406014113324,sao paulo,sp
286,1543,-23.57372097507369,-46.62387176826929,sao paulo,sp
287,1544,-23.577255432718097,-46.62163174221563,sao paulo,sp
288,1545,-23.58097414309849,-46.61831033162644,sao paulo,sp
289,1546,-23.579039318151207,-46.62195565179699,são paulo,sp
290,1547,-23.5829939617234,-46.62112676164033,sao paulo,sp
291,1548,-23.576927145286824,-46.613420785200006,sao paulo,sp
292,1549,-23.576317533999337,-46.615586656693765,sao paulo,sp
293,1550,-23.57305660659289,-46.61615054561148,sao paulo,sp
294,1551,-23.57273791226793,-46.61268007361107,sao paulo,sp
295,1552,-23.56949069519509,-46.611321773237286,sao paulo,sp
296,1553,-23.57448792318107,-46.60919807994077,sao paulo,sp
297,2009,-23.515799103830265,-46.64113909097136,sao paulo,sp
298,2010,-23.51056158921295,-46.62635497331379,são paulo,sp
299,2011,-23.5043850341285,-46.626621045901096,sao paulo,sp
300,2012,-23.513066026188508,-46.63196817761764,sao paulo,sp
301,2013,-23.5022061742251,-46.63311453979948,sao paulo,sp
302,2016,-23.50398483876719,-46.6256721599388,sao paulo,sp
303,2017,-23.500742944360795,-46.63469457728485,são paulo,sp
304,2018,-23.49570370617884,-46.62970690460869,sao paulo,sp
305,2019,-23.49826308491997,-46.629651561730405,sao paulo,sp
306,2020,-23.49646860368892,-46.63329280565478,sao paulo,sp
307,2021,-23.498309141177288,-46.6358858984643,sao paulo,sp
308,2022,-23.50407390342452,-46.63767093473863,são paulo,sp
309,2028,-23.508702544567765,-46.61833692171872,sao paulo,sp
310,2029,-23.509362078522784,-46.61934355300127,sao paulo,sp
311,2030,-23.50587133852141,-46.62468256911272,sao paulo,sp
312,2031,-23.510062708819763,-46.6257781627838,sao paulo,sp
313,2032,-23.511068260729203,-46.62384982222437,sao paulo,sp
314,2033,-23.499900453395483,-46.61504999074923,sao paulo,sp
315,2034,-23.50407287649565,-46.62414421625581,sao paulo,sp
316,2035,-23.4962113109326,-46.62282500873062,são paulo,sp
317,2036,-23.50174430714343,-46.6208028623093,sao paulo,sp
318,2037,-23.49971822107626,-46.620555045277534,sao paulo,sp
319,2038,-23.495237528059075,-46.62416228233207,sao paulo,sp
320,2039,-23.493025095973085,-46.621603479583534,sao paulo,sp
321,2040,-23.48965996001442,-46.62257166509295,sao paulo,sp
322,2041,-23.490626476607115,-46.62307980262542,sao paulo,sp
323,2042,-23.49423390444224,-46.616377152437465,sao paulo,sp
324,2043,-23.489943419781984,-46.61612445688869,sao paulo,sp
325,2044,-23.4957247176304,-46.618787965852384,sao paulo,sp
326,2045,-23.49614649201779,-46.616402919178896,sao paulo,sp
327,2046,-23.492280455300875,-46.61176940207568,sao paulo,sp
328,2047,-23.51721555382505,-46.61867396387229,sao paulo,sp
329,2049,-23.51416659033509,-46.61736559414439,são paulo,sp
330,2050,-23.51734415478188,-46.61213522693959,são paulo,sp
331,2051,-23.50998834007917,-46.60776441539105,sao paulo,sp
332,2052,-23.51297446615504,-46.60778378479692,sao paulo,sp
333,2053,-23.513227598850428,-46.602792691111006,sao paulo,sp
334,2054,-23.51719550809534,-46.60669921220444,sao paulo,sp
335,2055,-23.51402973131884,-46.60712616164343,sao paulo,sp
336,2056,-23.512302133311653,-46.60278807725412,são paulo,sp
337,2060,-23.51900515519527,-46.60286093182148,sao paulo,sp
338,2064,-23.517676960434017,-46.597964629407336,sao paulo,sp
339,2065,-23.507711240884003,-46.605369299131056,sao paulo,sp
340,2066,-23.508643305018,-46.605295668815735,sao paulo,sp
341,2067,-23.506720281053298,-46.6036534199635,sao paulo,sp
342,2068,-23.5051325062282,-46.61237532076288,sao paulo,sp
343,2069,-23.505534343983754,-46.613927707539226,sao paulo,sp
344,2071,-23.504278758029912,-46.606427672351096,sao paulo,sp
345,2072,-23.500164927840164,-46.60405533511347,sao paulo,sp
346,2073,-23.501832028037192,-46.60713393030522,sao paulo,sp
347,2074,-23.50521986198309,-46.60044750495475,sao paulo,sp
348,2075,-23.50545422042997,-46.60232703217921,sao paulo,sp
349,2076,-23.504660529782434,-46.59909846180968,sao paulo,sp
350,2077,-23.50231616295397,-46.59729440070282,sao paulo,sp
351,2078,-23.50224822474882,-46.59560967129785,sao paulo,sp
352,2079,-23.49928771412701,-46.60578507967237,sao paulo,sp
353,2080,-23.49767041990316,-46.60536157170672,sao paulo,sp
354,2081,-23.495841332603625,-46.60469932466566,sao paulo,sp
355,2082,-23.49459706456804,-46.60716679313656,sao paulo,sp
356,2083,-23.49532145559458,-46.59793556042434,sao paulo,sp
357,2084,-23.497275216798545,-46.59974305553181,sao paulo,sp
358,2085,-23.497952682648496,-46.6129677377595,sao paulo,sp
359,2088,-23.50424025971884,-46.620742066583865,sao paulo,sp
360,2089,-23.51709448459233,-46.616673100755904,sao paulo,sp
361,2110,-23.51909746504297,-46.59553885431606,sao paulo,sp
362,2111,-23.51764300121214,-46.5927568776476,sao paulo,sp
363,2112,-23.51744862428309,-46.59045121964739,são paulo,sp
364,2113,-23.517720495682244,-46.589226620340014,sao paulo,sp
365,2114,-23.52231792670285,-46.59061483317944,sao paulo,sp
366,2115,-23.52658964912257,-46.59169265929573,sao paulo,sp
367,2116,-23.520110678826004,-46.585240043057325,sao paulo,sp
368,2117,-23.51865496410495,-46.59365984819463,sao paulo,sp
369,2118,-23.515006511347323,-46.592774634882375,sao paulo,sp
370,2119,-23.51220780313036,-46.59263904944159,sao paulo,sp
371,2120,-23.51082440244575,-46.593885760245776,são paulo,sp
372,2121,-23.51222906922024,-46.58968331880412,sao paulo,sp
373,2122,-23.51196609358016,-46.58386437718144,sao paulo,sp
374,2123,-23.51183808399145,-46.579442496039015,sao paulo,sp
375,2124,-23.50697691302585,-46.57712086357543,sao paulo,sp
376,2125,-23.50983995240275,-46.58680335489369,sao paulo,sp
377,2126,-23.506898021382856,-46.59175114788354,sao paulo,sp
378,2127,-23.505597968453053,-46.587265741108666,sao paulo,sp
379,2128,-23.50501951707933,-46.59394256408344,sao paulo,sp
380,2129,-23.50371906481274,-46.58829102896532,sao paulo,sp
381,2130,-23.50846749738403,-46.58356366642944,são paulo,sp
382,2131,-23.50432881186953,-46.58250945058416,sao paulo,sp
383,2132,-23.501320929534863,-46.57765662787875,sao paulo,sp
384,2133,-23.499081224420927,-46.584724768458415,sao paulo,sp
385,2134,-23.498613267408857,-46.57978572229729,sao paulo,sp
386,2135,-23.49793218940606,-46.58461229170023,sao paulo,sp
387,2136,-23.49875432423628,-46.58237728186106,são paulo,sp
388,2137,-23.49795326926181,-46.57611869717361,sao paulo,sp
389,2138,-23.49346386270857,-46.57451697635212,sao paulo,sp
390,2139,-23.49046826593474,-46.57353020032567,são paulo,sp
391,2141,-23.4889868849868,-46.57065328067549,são paulo,sp
392,2142,-23.51019871070172,-46.576717815473344,sao paulo,sp
393,2143,-23.50721744615213,-46.57496712581992,sao paulo,sp
394,2144,-23.50369564795767,-46.57075616982412,sao paulo,sp
395,2145,-23.50235732946796,-46.56625930442225,sao paulo,sp
396,2146,-23.50095702331352,-46.57088226395057,sao paulo,sp
397,2147,-23.49836192657492,-46.565166700263546,são paulo,sp
398,2150,-23.49403466917498,-46.568633209704345,sao paulo,sp
399,2151,-23.496962716414327,-46.56955259688864,sao paulo,sp
400,2152,-23.49736136522832,-46.572231727088045,são paulo,sp
401,2161,-23.49016519418268,-46.569283719186814,são paulo,sp
402,2162,-23.49065321384101,-46.56283078535538,são paulo,sp
403,2166,-23.525209057038595,-46.58402154568834,sao paulo,sp
404,2167,-23.52269576366216,-46.581619908769134,sao paulo,sp
405,2168,-23.52060552735292,-46.579503398158735,são paulo,sp
406,2169,-23.54958484541716,-46.62029999286664,sao paulo,sp
407,2170,-23.525644299521662,-46.57701341026048,são paulo,sp
408,2174,-23.522923542862056,-46.57242472056035,sao paulo,sp
409,2175,-23.5158866944003,-46.574891587302986,sao paulo,sp
410,2176,-23.513598902883626,-46.5730652850043,sao paulo,sp
411,2177,-23.50873433614695,-46.5585298971563,sao paulo,sp
412,2178,-23.521664986950224,-46.570523876507146,são paulo,sp
413,2179,-23.520410060508965,-46.568235339069005,sao paulo,sp
414,2180,-23.519210706362006,-46.56595570648479,sao paulo,sp
415,2181,-23.51868747737037,-46.56102075954839,são paulo,sp
416,2185,-23.51469915477194,-46.56748610841784,sao paulo,sp
417,2186,-23.51405620319808,-46.5690600622993,sao paulo,sp
418,2187,-23.51587138597784,-46.56490977736317,sao paulo,sp
419,2188,-23.509466194005064,-46.56698198842045,sao paulo,sp
420,2189,-23.507787143908224,-46.567467709487815,são paulo,sp
421,2190,-23.5071480542849,-46.563973154457386,sao paulo,sp
422,2201,-23.486228925529456,-46.59200612706604,são paulo,sp
423,2202,-23.49304868290792,-46.59481549706722,sao paulo,sp
424,2203,-23.49187083497904,-46.59134807783873,sao paulo,sp
425,2204,-23.48741125450329,-46.59216239463687,sao paulo,sp
426,2205,-23.48798815884837,-46.59119431348124,sao paulo,sp
427,2206,-23.48462056971313,-46.59404547791869,são paulo,sp
428,2207,-23.48598549192137,-46.588188764979016,sao paulo,sp
429,2208,-23.483015536791733,-46.58951864576982,sao paulo,sp
430,2209,-23.485125790212173,-46.58537751870623,sao paulo,sp
431,2210,-23.48255993586803,-46.58210233960632,sao paulo,sp
432,2211,-23.4973990036863,-46.59360543538115,sao paulo,sp
433,2212,-23.495647470348985,-46.58925913931688,sao paulo,sp
434,2213,-23.496166309003108,-46.58812570952549,sao paulo,sp
435,2214,-23.49285143776326,-46.58679821915495,são paulo,sp
436,2215,-23.49075874535679,-46.58336932471797,sao paulo,sp
