geolocation_id,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
38,1038,-23.543907379627683,-46.63999380609391,sao paulo,SP
39,1039,-23.54137085777194,-46.63916528885119,sao paulo,SP
40,1040,-23.541028179008823,-46.63832469496941,sao paulo,SP
41,1041,-23.54390458746036,-46.64004648644472,sao paulo,SP
42,1042,-23.54485294953175,-46.640410456031695,sao paulo,SP
43,1043,-23.545765991186386,-46.64150246454141,são paulo,SP
44,1044,-23.545598238423416,-46.64145267015315,sao paulo,SP
45,1045,-23.54234536617856,-46.64252697570119,sao paulo,SP
46,1046,-23.54593003916881,-46.64399751778182,sao paulo,SP
47,1047,-23.546187607081748,-46.64106743356167,sao paulo,SP
48,1048,-23.54711318884073,-46.63983987489639,são paulo,SP
49,1049,-23.54701123674601,-46.63916570493306,sao paulo,SP
50,1050,-23.54922916358051,-46.64303023455153,sao paulo,SP
51,1101,-23.528286860378213,-46.631957535031056,sao paulo,SP
52,1102,-23.52557140695574,-46.63028748439394,são paulo,SP
53,1103,-23.53546844605213,-46.630290773383486,são paulo,SP
54,1104,-23.534952165368537,-46.62957039061347,sao paulo,SP
55,1105,-23.53409398177586,-46.62907768017333,sao paulo,SP
56,1106,-23.53022077513783,-46.62822125953078,sao paulo,SP
57,1107,-23.52608789203137,-46.6295898871866,sao paulo,SP
58,1108,-23.52723217132549,-46.63035441819986,sao paulo,SP
59,1109,-23.524624899587646,-46.627103243360565,sao paulo,SP
60,1120,-23.530162529753117,-46.63951141166309,sao paulo,SP
61,1121,-23.527866658998825,-46.635256920492864,sao paulo,SP
62,1122,-23.53113059653861,-46.638324826141925,são paulo,SP
63,1123,-23.529164543710603,-46.636582392674725,sao paulo,SP
64,1124,-23.528221233825743,-46.6330954010969,sao paulo,SP
65,1125,-23.52728844957164,-46.64016432350874,sao paulo,SP
66,1126,-23.52706654933756,-46.6391527868084,sao paulo,SP
67,1127,-23.52548080336663,-46.64159548852641,sao paulo,SP
68,1128,-23.523786738657147,-46.64220966455253,sao paulo,SP
69,1129,-23.524051385464382,-46.64507304012999,sao paulo,SP
70,1130,-23.52483082086712,-46.64492992157746,sao paulo,SP
71,1131,-23.522379737671027,-46.64310784736644,sao paulo,SP
72,1132,-23.52153987930432,-46.64873923331728,sao paulo,SP
73,1133,-23.52042428170985,-46.65332230946677,sao paulo,SP
74,1134,-23.518899939878285,-46.65269033643667,são paulo,SP
75,1135,-23.52619042672918,-46.65097004120221,sao paulo,SP
76,1136,-23.523986920181716,-46.66135135045779,são paulo,SP
77,1137,-23.522851480322117,-46.65280923153935,são paulo,SP
78,1138,-23.522455823939264,-46.65525390366426,sao paulo,SP
79,1139,-23.520724956071756,-46.66593897144172,sao paulo,SP
80,1140,-23.52043844370904,-46.66923716844039,sao paulo,SP
81,1141,-23.520310325905555,-46.666439013917504,são paulo,SP
82,1142,-23.519934305152635,-46.6251300217966,sao paulo,SP
83,1144,-23.523572749295845,-46.67242459028445,sao paulo,SP
84,1150,-23.53295302359728,-46.65824594266135,sao paulo,SP
85,1151,-23.531641584683715,-46.656288753249086,sao paulo,SP
86,1152,-23.529884845741268,-46.65527643333266,sao paulo,SP
87,1153,-23.529930846298758,-46.65354908690436,são paulo,SP
88,1154,-23.530535897249937,-46.65929570388055,sao paulo,SP
89,1155,-23.529072884025176,-46.66331995168207,sao paulo,SP
90,1156,-23.528921138302916,-46.66643724514499,são paulo,SP
91,1189,-23.53210825506378,-46.63839470107914,sao paulo,SP
92,1200,-23.531567773241413,-46.64986907784642,sao paulo,SP
93,1201,-23.53608280967418,-46.64953939046932,sao paulo,SP
94,1202,-23.533742576459336,-46.64828045105447,são paulo,SP
95,1203,-23.53596465666132,-46.64529955632679,sao paulo,SP
96,1204,-23.535992639468517,-46.64408982260722,sao paulo,SP
97,1205,-23.536490774893963,-46.64264196680963,são paulo,SP
98,1206,-23.53586368511747,-46.64281871336397,sao paulo,SP
99,1207,-23.539175560135185,-46.63865415001012,sao paulo,SP
100,1208,-23.538660495662256,-46.63898204602016,sao paulo,SP
101,1209,-23.540695255566067,-46.64158293572283,sao paulo,SP
102,1210,-23.54003934055892,-46.64209131081347,são paulo,SP
103,1211,-23.53757657410565,-46.648837901189005,sao paulo,SP
104,1212,-23.538268511790665,-46.63942263256764,são paulo,SP
105,1213,-23.53650149461516,-46.64036116340707,sao paulo,SP
106,1214,-23.538842493961862,-46.645230453060144,sao paulo,SP
107,1215,-23.536167399914945,-46.64754185786535,são paulo,SP
108,1216,-23.53312759396449,-46.647833807450674,sao paulo,SP
109,1217,-23.532657557836487,-46.64888399298631,sao paulo,SP
110,1218,-23.531249798864057,-46.648325141054045,são paulo,SP
111,1219,-23.54128881428637,-46.64569860301066,sao paulo,SP
112,1220,-23.544514011109737,-46.64603990221942,sao paulo,SP
113,1221,-23.54486769747208,-46.64828171537101,sao paulo,SP
114,1222,-23.545944543973,-46.64936937401519,são paulo,SP
115,1223,-23.54408811655856,-46.6485821171502,sao paulo,SP
116,1224,-23.54177865147579,-46.65242233963953,sao paulo,SP
117,1225,-23.53978602121373,-46.64913883151016,sao paulo,SP
118,1226,-23.538010108905684,-46.65271926812756,são paulo,SP
119,1227,-23.54620191296881,-46.658384582734,sao paulo,SP
120,1228,-23.545189379286004,-46.657610856988455,sao paulo,SP
121,1229,-23.538901609843467,-46.657291130376834,sao paulo,SP
122,1230,-23.536310405918027,-46.65711200863413,sao paulo,SP
123,1231,-23.536950407426133,-46.65925589278497,sao paulo,SP
124,1232,-23.53642800353018,-46.65742601137803,sao paulo,SP
125,1233,-23.53624654014996,-46.66166521796578,sao paulo,SP
126,1234,-23.539689562251542,-46.66424403546395,sao paulo,SP
127,1235,-23.536714276862277,-46.66466630391698,sao paulo,SP
128,1236,-23.543550224431343,-46.66741941090643,sao paulo,SP
129,1237,-23.54323445101232,-46.66872440228904,sao paulo,SP
130,1238,-23.542571396851145,-46.65424333104067,sao paulo,SP
131,1239,-23.5430952700848,-46.63105919621764,sao paulo,SP
132,1240,-23.543791843442868,-46.658543962529855,sao paulo,SP
133,1241,-23.54552478660237,-46.65784019308335,são paulo,SP
134,1242,-23.546506947085888,-46.65850174642453,sao paulo,SP
135,1243,-23.548120304994384,-46.65919184884556,sao paulo,SP
136,1244,-23.56204912797664,-46.65959031403356,sao paulo,SP
137,1245,-23.5494755238467,-46.66382107418295,são paulo,SP
138,1246,-23.55348129524968,-46.666318477031005,sao paulo,SP
139,1247,-23.55063807285042,-46.66865580450115,são paulo,SP
140,1248,-23.54791252484105,-46.6680263133255,sao paulo,SP
141,1249,-23.54841989244908,-46.67122044555848,sao paulo,SP
142,1250,-23.547640483075995,-46.67197263354333,sao paulo,SP
143,1251,-23.54837451640475,-46.67484647170287,são paulo,SP
144,1252,-23.541753975470872,-46.67893404000763,sao paulo,SP
145,1253,-23.54492912635292,-46.679164692087,sao paulo,SP
146,1254,-23.543337420255035,-46.680852402934015,são paulo,SP
147,1255,-23.546369835319183,-46.68154172682528,sao paulo,SP
148,1256,-23.547773256174622,-46.682838349154586,são paulo,SP
149,1257,-23.54360983905432,-46.687838575110746,sao paulo,SP
150,1258,-23.54403701732508,-46.68685091247136,sao paulo,SP
151,1259,-23.541418553843283,-46.68530389676934,sao paulo,SP
152,1262,-23.550856391462712,-46.67735184892536,sao paulo,SP
153,1290,-23.54096134139296,-46.657748702752585,são paulo,SP
154,1301,-23.549328970281223,-46.65089009868754,sao paulo,SP
155,1302,-23.549002921262296,-46.6495522786361,sao paulo,SP
156,1303,-23.54950569815466,-46.64843251428849,sao paulo,SP
157,1304,-23.554056434811184,-46.655202368713134,sao paulo,SP
158,1305,-23.552622735865256,-46.652538288772064,sao paulo,SP
159,1306,-23.553785206718917,-46.649605096945386,sao paulo,SP
160,1307,-23.55277801011571,-46.65320770049062,sao paulo,SP
161,1308,-23.555981373614504,-46.65331111428114,sao paulo,SP
162,1309,-23.55549308001593,-46.658452189500665,são paulo,SP
163,1310,-23.561652948469515,-46.65602130430728,sao paulo,SP
164,1311,-23.564504609380947,-46.652792655953206,sao paulo,SP
165,1312,-23.5547938726134,-46.64961491794625,sao paulo,SP
166,1313,-23.556111699158382,-46.65057380587249,sao paulo,SP
167,1314,-23.552640734461253,-46.64520437763303,sao paulo,SP
168,1315,-23.55408999997805,-46.64038909569764,sao paulo,SP
169,1316,-23.55295484539391,-46.6394328193213,sao paulo,SP
170,1317,-23.556238213645067,-46.640059865228494,sao paulo,SP
171,1318,-23.559447989888127,-46.642412737332194,sao paulo,SP
172,1319,-23.55188165773143,-46.640727972716256,são paulo,SP
173,1320,-23.557955062291963,-46.6393473993254,sao paulo,SP
174,1321,-23.56212863488459,-46.64191854981315,sao paulo,SP
175,1322,-23.56317165882958,-46.64345614157524,sao paulo,SP
176,1323,-23.56573478465023,-46.64147810312641,sao paulo,SP
177,1324,-23.55521473546572,-46.6431507402032,sao paulo,SP
178,1325,-23.557390163497686,-46.64445833667602,sao paulo,SP
179,1326,-23.55653901468896,-46.645439561798014,sao paulo,SP
180,1327,-23.565113424714426,-46.644944579328765,sao paulo,SP
181,1328,-23.555992686485013,-46.64679480230547,sao paulo,SP
182,1329,-23.56197752132482,-46.64728109566715,sao paulo,SP
183,1330,-23.559037886116048,-46.64945883730208,sao paulo,SP
184,1331,-23.56266441471218,-46.64999665805783,sao paulo,SP
185,1332,-23.55956858757865,-46.65245164487606,sao paulo,SP
186,1333,-23.56643505240895,-46.64756359661896,sao paulo,SP
187,1401,-23.575807250351687,-46.6586546272466,sao paulo,SP
188,1402,-23.57483739004908,-46.65739203989358,sao paulo,SP
189,1403,-23.56875503877107,-46.65340944414581,são paulo,SP
190,1404,-23.56854473362845,-46.65578027665806,sao paulo,SP
191,1405,-23.564762579634397,-46.65513838518373,sao paulo,SP
192,1406,-23.574814338967823,-46.67029927274052,são paulo,SP
193,1407,-23.576111884428947,-46.67139205737759,sao paulo,SP
194,1408,-23.56711189502811,-46.66081341581779,sao paulo,SP
195,1409,-23.56146082458661,-46.6582620039177,sao paulo,SP
196,1410,-23.562831445869627,-46.66092524802457,sao paulo,SP
197,1411,-23.56424786754298,-46.66405956794994,sao paulo,SP
198,1412,-23.563651580737663,-46.66602412107524,são paulo,SP
199,1413,-23.56181450412445,-46.66403395427192,são paulo,SP
200,1414,-23.559623493719684,-46.663496455320605,são paulo,SP
201,1415,-23.55609171648326,-46.660462198375534,sao paulo,SP
202,1416,-23.56069291396141,-46.6676885326705,sao paulo,SP
203,1417,-23.55277885309958,-46.63393189503633,sao paulo,SP
204,1418,-23.56411614903987,-46.65527239864379,sao paulo,SP
205,1419,-23.563541620009783,-46.655949613048826,sao paulo,SP
206,1420,-23.563435490498804,-46.65791603919698,sao paulo,SP
207,1421,-23.563299264968794,-46.66015369245716,são paulo,SP
208,1422,-23.563961910707366,-46.661132368415885,sao paulo,SP
209,1423,-23.5691451171934,-46.65734766505131,sao paulo,SP
210,1424,-23.568041456805936,-46.66139884320943,sao paulo,SP
211,1425,-23.57289853249542,-46.65924739236762,sao paulo,SP
212,1426,-23.56586039709828,-46.666031696326776,sao paulo,SP
213,1427,-23.571044764791598,-46.664068614217655,são paulo,SP
214,1428,-23.573938872860044,-46.66232632374679,sao paulo,SP
215,1429,-23.57638445552909,-46.662900007074334,são paulo,SP
216,1430,-23.65614006235602,-46.66250204609212,sao paulo,SP
217,1431,-23.620388779836063,-46.66476818452366,sao paulo,SP
218,1432,-23.576485879805997,-46.6657860583567,sao paulo,SP
219,1433,-23.57840745461661,-46.66837295595987,são paulo,SP
220,1434,-23.574646544842807,-46.67237739901525,sao paulo,SP
221,1435,-23.57932184560537,-46.67017866896868,sao paulo,SP
222,1436,-23.57245538592821,-46.66798871616942,sao paulo,SP
223,1437,-23.5721412540443,-46.67150329618942,sao paulo,SP
224,1438,-23.56980370877425,-46.67226487905968,sao paulo,SP
225,1439,-23.566289488092035,-46.67357141778229,sao paulo,SP
226,1440,-23.568289458157125,-46.67817024606098,sao paulo,SP
227,1441,-23.570603894261332,-46.68373209675989,são paulo,SP
228,1442,-23.566530732061707,-46.67861605515884,sao paulo,SP
229,1443,-23.568268938910105,-46.68450786333133,sao paulo,SP
230,1444,-23.573235541829785,-46.68752695447545,sao paulo,SP
231,1445,-23.57103798335723,-46.6880680072701,sao paulo,SP
232,1446,-23.575583788550983,-46.675498893884544,sao paulo,SP
233,1447,-23.572786809489717,-46.67888556258398,sao paulo,SP
234,1448,-23.578237896388124,-46.6798226933562,sao paulo,SP
235,1449,-23.57611691772789,-46.67995669824681,sao paulo,SP
236,1450,-23.57645317887297,-46.68518508958671,sao paulo,SP
237,1451,-23.577435950107763,-46.68698984950365,sao paulo,SP
238,1452,-23.574996445978105,-46.68887938403559,sao paulo,SP
239,1453,-23.584059003974733,-46.686376108944685,sao paulo,SP
240,1454,-23.582376976278088,-46.68670275509791,sao paulo,SP
241,1455,-23.5805541360028,-46.69112136854047,sao paulo,SP
242,1456,-23.576839765441044,-46.690987249007264,sao paulo,SP
243,1457,-23.575237809829588,-46.69270350960497,sao paulo,SP
244,1472,-23.57054369248079,-46.69129667943905,sao paulo,SP
245,1489,-23.57664998889148,-46.68740004775216,sao paulo,SP
246,1501,-23.552469356196877,-46.63548543836741,são paulo,SP
247,1502,-23.55460594212854,-46.635492561139046,sao paulo,SP
248,1503,-23.557709002952706,-46.63676937101554,são paulo,SP
249,1504,-23.566860580458098,-46.63950529622234,sao paulo,SP
250,1505,-23.55526761118644,-46.63182476204627,são paulo,SP
251,1506,-23.55955866786248,-46.63503218503183,são paulo,SP
252,1507,-23.558146418434657,-46.63176589052542,são paulo,SP
253,1508,-23.56142363121043,-46.63583005941286,sao paulo,SP
254,1509,-23.567010080253134,-46.6357981412501,sao paulo,SP
255,1510,-23.55760216498659,-46.63361528281082,sao paulo,SP
256,1511,-23.561456812728604,-46.63294793571508,sao paulo,SP
257,1512,-23.55371720607981,-46.62949909730413,sao paulo,SP
258,1513,-23.548914356972645,-46.60384461609752,sao paulo,SP
259,1514,-23.55437781878454,-46.628337768628526,sao paulo,SP
260,1516,-23.559073244239706,-46.61547996424181,sao paulo,SP
261,1517,-23.559613278440462,-46.62400348069893,sao paulo,SP
262,1518,-23.559209262391253,-46.62318692012759,sao paulo,SP
263,1519,-23.56092636240119,-46.62475706787166,sao paulo,SP
264,1520,-23.559378269055895,-46.62016401941447,sao paulo,SP
265,1521,-23.561174444941717,-46.62150903166886,sao paulo,SP
266,1522,-23.559920265800766,-46.61598186753573,sao paulo,SP
267,1523,-23.56420347845227,-46.61689706470856,sao paulo,SP
268,1524,-23.567783274833246,-46.61340053805785,sao paulo,SP
269,1525,-23.564028977467743,-46.634953911249525,sao paulo,SP
270,1526,-23.565952267759908,-46.6309439185662,sao paulo,SP
271,1527,-23.56243917352596,-46.62919220917374,sao paulo,SP
272,1528,-23.56477004530616,-46.627165924834166,sao paulo,SP
273,1529,-23.56843915687453,-46.634555491641365,sao paulo,SP
274,1530,-23.56894449806347,-46.63008918820539,sao paulo,SP
275,1531,-23.570760627713355,-46.63242524738392,sao paulo,SP
276,1532,-23.57053421761297,-46.6361118769605,sao paulo,SP
277,1533,-23.57116812309982,-46.63836454335031,sao paulo,SP
278,1534,-23.56754359015962,-46.62608514345028,sao paulo,SP
279,1535,-23.572433214905782,-46.6252413618822,sao paulo,SP
280,1536,-23.56903213145491,-46.62343627355639,sao paulo,SP
281,1537,-23.57442284838845,-46.623137264431584,sao paulo,SP
282,1538,-23.576312823278336,-46.623629347944245,são paulo,SP
283,1539,-23.5711528559151,-46.62043601303771,sao paulo,SP
284,1540,-23.565851346289616,-46.62258150860084,sao paulo,SP
285,1541,-23.56925274057871,-46.61861697305809,sao paulo,SP
286,1542,-23.57106582708015,-46.62406014113324,sao paulo,SP
287,1543,-23.57372097507369,-46.62387176826929,sao paulo,SP
288,1544,-23.577255432718097,-46.62163174221563,sao paulo,SP
289,1545,-23.58097414309849,-46.61831033162644,sao paulo,SP
290,1546,-23.579039318151207,-46.62195565179699,são paulo,SP
291,1547,-23.5829939617234,-46.62112676164033,sao paulo,SP
292,1548,-23.576927145286824,-46.613420785200006,sao paulo,SP
293,1549,-23.576317533999337,-46.615586656693765,sao paulo,SP
294,1550,-23.57305660659289,-46.61615054561148,sao paulo,SP
295,1551,-23.57273791226793,-46.61268007361107,sao paulo,SP
296,1552,-23.56949069519509,-46.611321773237286,sao paulo,SP
297,1553,-23.57448792318107,-46.60919807994077,sao paulo,SP
298,2009,-23.515799103830265,-46.64113909097136,sao paulo,SP
299,2010,-23.51056158921295,-46.62635497331379,são paulo,SP
300,2011,-23.5043850341285,-46.626621045901096,sao paulo,SP
301,2012,-23.513066026188508,-46.63196817761764,sao paulo,SP
302,2013,-23.5022061742251,-46.63311453979948,sao paulo,SP
303,2016,-23.50398483876719,-46.6256721599388,sao paulo,SP
304,2017,-23.500742944360795,-46.63469457728485,são paulo,SP
305,2018,-23.49570370617884,-46.62970690460869,sao paulo,SP
306,2019,-23.49826308491997,-46.629651561730405,sao paulo,SP
307,2020,-23.49646860368892,-46.63329280565478,sao paulo,SP
308,2021,-23.498309141177288,-46.6358858984643,sao paulo,SP
309,2022,-23.50407390342452,-46.63767093473863,são paulo,SP
310,2028,-23.508702544567765,-46.61833692171872,sao paulo,SP
311,2029,-23.509362078522784,-46.61934355300127,sao paulo,SP
312,2030,-23.50587133852141,-46.62468256911272,sao paulo,SP
313,2031,-23.510062708819763,-46.6257781627838,sao paulo,SP
314,2032,-23.511068260729203,-46.62384982222437,sao paulo,SP
315,2033,-23.499900453395483,-46.61504999074923,sao paulo,SP
316,2034,-23.50407287649565,-46.62414421625581,sao paulo,SP
317,2035,-23.4962113109326,-46.62282500873062,são paulo,SP
318,2036,-23.50174430714343,-46.6208028623093,sao paulo,SP
319,2037,-23.49971822107626,-46.620555045277534,sao paulo,SP
320,2038,-23.495237528059075,-46.62416228233207,sao paulo,SP
321,2039,-23.493025095973085,-46.621603479583534,sao paulo,SP
322,2040,-23.48965996001442,-46.62257166509295,sao paulo,SP
323,2041,-23.490626476607115,-46.62307980262542,sao paulo,SP
324,2042,-23.494233904442236,-46.616377152437465,sao paulo,SP
325,2043,-23.489943419781984,-46.61612445688869,sao paulo,SP
326,2044,-23.4957247176304,-46.618787965852384,sao paulo,SP
327,2045,-23.49614649201779,-46.616402919178896,sao paulo,SP
328,2046,-23.492280455300875,-46.61176940207568,sao paulo,SP
329,2047,-23.51721555382505,-46.61867396387229,sao paulo,SP
330,2049,-23.51416659033509,-46.61736559414439,são paulo,SP
331,2050,-23.51734415478188,-46.61213522693959,são paulo,SP
332,2051,-23.509988340079172,-46.60776441539105,sao paulo,SP
333,2052,-23.512974466155036,-46.60778378479692,sao paulo,SP
334,2053,-23.513227598850428,-46.602792691111006,sao paulo,SP
335,2054,-23.51719550809534,-46.60669921220444,sao paulo,SP
336,2055,-23.51402973131884,-46.60712616164343,sao paulo,SP
337,2056,-23.512302133311653,-46.60278807725412,são paulo,SP
338,2060,-23.51900515519527,-46.60286093182148,sao paulo,SP
339,2064,-23.517676960434017,-46.597964629407336,sao paulo,SP
340,2065,-23.507711240884003,-46.605369299131056,sao paulo,SP
341,2066,-23.508643305017998,-46.605295668815735,sao paulo,SP
342,2067,-23.506720281053298,-46.6036534199635,sao paulo,SP
343,2068,-23.5051325062282,-46.61237532076288,sao paulo,SP
344,2069,-23.505534343983754,-46.613927707539226,sao paulo,SP
345,2071,-23.504278758029912,-46.606427672351096,sao paulo,SP
346,2072,-23.500164927840164,-46.60405533511347,sao paulo,SP
347,2073,-23.501832028037192,-46.60713393030522,sao paulo,SP
348,2074,-23.50521986198309,-46.60044750495475,sao paulo,SP
349,2075,-23.50545422042997,-46.60232703217921,sao paulo,SP
350,2076,-23.504660529782434,-46.59909846180968,sao paulo,SP
351,2077,-23.502316162953974,-46.59729440070282,sao paulo,SP
352,2078,-23.50224822474882,-46.59560967129785,sao paulo,SP
353,2079,-23.499287714127014,-46.60578507967237,sao paulo,SP
354,2080,-23.49767041990316,-46.60536157170672,sao paulo,SP
355,2081,-23.495841332603625,-46.60469932466566,sao paulo,SP
356,2082,-23.49459706456804,-46.60716679313656,sao paulo,SP
357,2083,-23.49532145559458,-46.59793556042434,sao paulo,SP
358,2084,-23.497275216798545,-46.59974305553181,sao paulo,SP
359,2085,-23.497952682648496,-46.6129677377595,sao paulo,SP
360,2088,-23.50424025971884,-46.620742066583865,sao paulo,SP
361,2089,-23.51709448459233,-46.616673100755904,sao paulo,SP
362,2110,-23.51909746504297,-46.59553885431606,sao paulo,SP
363,2111,-23.51764300121214,-46.5927568776476,sao paulo,SP
364,2112,-23.51744862428309,-46.59045121964739,são paulo,SP
365,2113,-23.517720495682244,-46.589226620340014,sao paulo,SP
366,2114,-23.52231792670285,-46.59061483317944,sao paulo,SP
367,2115,-23.52658964912257,-46.59169265929573,sao paulo,SP
368,2116,-23.520110678826004,-46.585240043057325,sao paulo,SP
369,2117,-23.51865496410495,-46.59365984819463,sao paulo,SP
370,2118,-23.515006511347323,-46.592774634882375,sao paulo,SP
371,2119,-23.51220780313036,-46.59263904944159,sao paulo,SP
372,2120,-23.51082440244575,-46.593885760245776,são paulo,SP
373,2121,-23.512229069220236,-46.58968331880412,sao paulo,SP
374,2122,-23.511966093580156,-46.58386437718144,sao paulo,SP
375,2123,-23.51183808399145,-46.579442496039015,sao paulo,SP
376,2124,-23.50697691302585,-46.57712086357543,sao paulo,SP
377,2125,-23.50983995240275,-46.58680335489369,sao paulo,SP
378,2126,-23.506898021382856,-46.59175114788354,sao paulo,SP
379,2127,-23.505597968453053,-46.587265741108666,sao paulo,SP
380,2128,-23.50501951707933,-46.59394256408344,sao paulo,SP
381,2129,-23.50371906481274,-46.58829102896532,sao paulo,SP
382,2130,-23.50846749738403,-46.58356366642944,são paulo,SP
383,2131,-23.50432881186953,-46.58250945058416,sao paulo,SP
384,2132,-23.501320929534863,-46.57765662787875,sao paulo,SP
385,2133,-23.499081224420927,-46.584724768458415,sao paulo,SP
386,2134,-23.498613267408857,-46.57978572229729,sao paulo,SP
387,2135,-23.49793218940606,-46.58461229170023,sao paulo,SP
388,2136,-23.498754324236277,-46.58237728186106,são paulo,SP
389,2137,-23.49795326926181,-46.57611869717361,sao paulo,SP
390,2138,-23.49346386270857,-46.57451697635212,sao paulo,SP
391,2139,-23.49046826593474,-46.57353020032567,são paulo,SP
392,2141,-23.488986884986797,-46.57065328067549,são paulo,SP
393,2142,-23.51019871070172,-46.576717815473344,sao paulo,SP
394,2143,-23.50721744615213,-46.57496712581992,sao paulo,SP
395,2144,-23.50369564795767,-46.57075616982412,sao paulo,SP
396,2145,-23.50235732946796,-46.56625930442225,sao paulo,SP
397,2146,-23.50095702331352,-46.57088226395057,sao paulo,SP
398,2147,-23.49836192657492,-46.565166700263546,são paulo,SP
399,2150,-23.49403466917498,-46.568633209704345,sao paulo,SP
400,2151,-23.496962716414327,-46.56955259688864,sao paulo,SP
401,2152,-23.49736136522832,-46.572231727088045,são paulo,SP
402,2161,-23.490165194182676,-46.569283719186814,são paulo,SP
403,2162,-23.49065321384101,-46.56283078535538,são paulo,SP
404,2166,-23.525209057038595,-46.58402154568834,sao paulo,SP
405,2167,-23.522695763662156,-46.581619908769134,sao paulo,SP
406,2168,-23.520605527352917,-46.579503398158735,são paulo,SP
407,2169,-23.54958484541716,-46.62029999286664,sao paulo,SP
408,2170,-23.525644299521662,-46.57701341026048,são paulo,SP
409,2174,-23.522923542862056,-46.57242472056035,sao paulo,SP
410,2175,-23.5158866944003,-46.574891587302986,sao paulo,SP
411,2176,-23.513598902883626,-46.5730652850043,sao paulo,SP
412,2177,-23.50873433614695,-46.5585298971563,sao paulo,SP
413,2178,-23.521664986950224,-46.570523876507146,são paulo,SP
414,2179,-23.520410060508965,-46.568235339069005,sao paulo,SP
415,2180,-23.519210706362006,-46.56595570648479,sao paulo,SP
416,2181,-23.51868747737037,-46.56102075954839,são paulo,SP
417,2185,-23.51469915477194,-46.56748610841784,sao paulo,SP
418,2186,-23.51405620319808,-46.5690600622993,sao paulo,SP
419,2187,-23.51587138597784,-46.56490977736317,sao paulo,SP
420,2188,-23.509466194005064,-46.56698198842045,sao paulo,SP
421,2189,-23.507787143908224,-46.567467709487815,são paulo,SP
422,2190,-23.5071480542849,-46.563973154457386,sao paulo,SP
423,2201,-23.486228925529456,-46.59200612706604,são paulo,SP
424,2202,-23.49304868290792,-46.59481549706722,sao paulo,SP
425,2203,-23.49187083497904,-46.59134807783873,sao paulo,SP
426,2204,-23.48741125450329,-46.59216239463687,sao paulo,SP
427,2205,-23.48798815884837,-46.59119431348124,sao paulo,SP
428,2206,-23.48462056971313,-46.59404547791869,são paulo,SP
429,2207,-23.48598549192137,-46.588188764979016,sao paulo,SP
430,2208,-23.483015536791733,-46.58951864576982,sao paulo,SP
431,2209,-23.485125790212173,-46.58537751870623,sao paulo,SP
432,2210,-23.48255993586803,-46.58210233960632,sao paulo,SP
433,2211,-23.4973990036863,-46.59360543538115,sao paulo,SP
434,2212,-23.495647470348985,-46.58925913931688,sao paulo,SP
435,2213,-23.496166309003108,-46.58812570952549,sao paulo,SP
436,2214,-23.49285143776326,-46.58679821915495,são paulo,SP
